,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-04-13,24.89,18.92,35.87,32.56,114.91,44.31,35.91,22.82,17.11,39.84,21.32,35.81,122.48,25.72,26.14,45.39,10.34,25.84,11.02,78.94,17.17,30.86,19.3,46.9,13.04,21.27,90.69,57.33,17.81,22.08,27.89,36.35,28.95,31.94,10.82,23.4,18.07,22.71,15.25,17.1,4.01,9.0,78.27,40.7,60.52,33.59,28.29,38.48,31.73,10.11,5.39,4.8,14.42,59.5,30.53,47.83,16.58,34.74,16.38
2009-04-14,24.59,17.04,35.83,32.47,113.08,43.51,35.31,22.94,16.9,39.83,21.48,35.5,108.33,25.19,25.9,45.03,9.81,25.4,10.9,77.22,16.87,30.54,19.08,46.54,12.59,20.65,90.07,56.15,16.55,21.95,27.5,35.39,28.55,30.95,9.91,25.05,17.96,22.17,15.4,17.05,4.05,8.52,75.43,40.04,59.8,33.61,27.15,38.41,31.36,10.13,5.32,4.82,14.07,59.22,27.81,46.73,16.61,34.69,15.8
2009-04-15,24.67,19.07,35.99,32.93,112.44,44.78,35.28,23.5,16.45,40.52,21.7,35.97,114.05,25.52,26.02,45.18,10.08,25.0,11.33,74.71,16.59,30.55,19.43,47.24,13.06,20.95,89.69,56.25,17.71,22.57,27.27,35.28,28.83,30.99,10.25,26.37,18.23,22.46,15.11,17.32,3.8,8.58,76.68,41.31,60.97,34.11,27.77,38.73,32.03,9.87,5.36,4.9,14.02,59.61,29.49,45.99,16.27,35.19,16.25
2009-04-16,24.72,19.13,36.9,33.65,116.08,44.71,36.21,23.49,17.26,41.06,22.15,36.03,114.05,26.04,27.23,44.73,10.46,25.19,11.36,77.25,17.18,30.77,19.46,48.14,13.41,21.18,92.03,55.6,17.62,23.34,28.4,34.97,28.93,30.87,10.15,27.86,19.46,22.72,15.81,17.86,3.92,8.83,76.26,42.73,63.63,34.45,27.7,39.82,33.64,10.52,5.19,5.18,14.43,58.97,30.11,46.63,16.75,36.42,16.08
2009-04-17,24.96,20.17,36.24,33.59,117.97,44.86,37.49,23.32,16.77,41.44,22.39,35.38,113.49,26.75,26.9,44.22,10.56,26.37,11.57,78.05,17.47,30.12,19.43,47.31,13.15,21.09,91.89,55.67,18.35,23.41,28.11,34.69,28.55,30.93,10.41,26.7,19.04,22.83,15.97,18.01,3.77,9.07,76.71,43.77,63.11,34.33,28.36,40.7,33.36,10.7,5.22,5.33,14.39,58.39,30.13,47.81,16.67,36.9,15.78
2009-04-20,23.57,17.55,35.15,31.98,115.18,42.91,34.7,22.91,16.25,41.17,21.08,34.41,108.23,26.6,26.97,43.4,9.67,25.7,11.11,77.57,16.38,29.41,19.13,45.69,12.66,21.04,91.12,53.86,15.4,22.02,27.24,33.22,26.95,30.2,7.87,21.26,18.05,22.0,15.39,16.65,3.47,8.24,75.37,42.98,62.11,33.9,27.87,39.67,31.87,9.97,4.79,4.82,13.66,57.12,26.89,47.16,16.04,36.27,15.36
2009-04-21,24.05,18.1,35.03,32.13,116.38,42.47,34.71,23.57,16.57,41.2,21.5,35.14,113.27,26.65,27.44,43.89,9.97,26.23,11.05,78.74,16.74,29.38,18.6,46.85,12.96,21.13,92.83,54.71,17.04,23.11,28.25,34.17,27.76,30.32,8.6,24.06,18.22,22.63,15.2,16.9,3.58,8.45,76.04,43.53,62.37,34.27,28.01,40.63,32.56,10.21,5.08,5.0,14.38,57.94,29.47,47.42,16.39,36.95,15.62
2009-04-22,23.65,17.97,35.21,32.7,116.14,41.29,34.67,22.33,16.4,41.06,22.69,35.46,113.39,26.24,26.76,43.13,10.06,25.53,10.66,79.2,17.37,29.22,18.53,46.65,12.76,21.08,93.05,53.76,16.47,22.85,28.32,33.8,28.7,30.19,8.11,23.57,18.31,22.89,15.68,17.0,4.03,8.5,77.85,42.39,61.39,33.69,28.21,42.17,31.87,10.28,4.85,5.1,14.48,56.64,28.89,46.24,16.16,36.88,15.22
2009-04-23,24.81,19.39,37.55,33.25,119.86,41.21,34.53,22.19,16.52,40.72,22.76,36.92,115.57,26.12,26.3,43.04,10.12,25.88,10.86,80.61,19.51,30.34,18.52,47.66,12.36,21.36,92.02,55.26,18.19,22.61,27.65,35.64,28.7,30.74,8.66,24.72,17.83,22.53,15.41,17.65,4.23,8.35,79.55,42.15,63.45,33.48,28.07,43.28,31.95,10.37,4.91,5.17,14.55,57.48,30.08,47.14,16.33,37.72,15.65
2009-04-24,25.61,23.39,37.36,33.94,118.43,41.75,34.14,22.37,18.26,40.67,23.8,38.14,114.15,26.21,26.51,42.17,10.32,26.61,10.77,84.46,19.78,30.4,18.47,50.11,12.62,21.57,90.81,56.16,19.38,23.7,27.8,37.34,29.74,30.65,8.94,24.06,18.31,23.02,15.89,17.98,4.71,8.47,80.47,42.31,63.22,33.34,28.18,43.0,32.9,10.69,5.25,5.36,14.73,58.24,30.24,46.29,17.07,37.71,15.76
